"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"days",180,48,1,0.410526315789474,0.918032786885246,61
"days",180,49,1,0.189473684210526,0.939024390243902,82
"days",180,50,1,0.263157894736842,0.933333333333333,75
"effect_size",0.5,1,0.8,0.463157894736842,0.927272727272727,55
"effect_size",0.5,2,1,0.221052631578947,0.936708860759494,79
"effect_size",0.5,3,0.8,0.536842105263158,0.916666666666667,48
"effect_size",0.5,4,0.4,0.484210526315789,0.96078431372549,51
"effect_size",0.5,5,1,0.378947368421053,0.921875,64
"effect_size",0.5,6,0.8,0.326315789473684,0.941176470588235,68
"effect_size",0.5,7,0.8,0.421052631578947,0.932203389830508,59
"effect_size",0.5,8,1,0.431578947368421,0.915254237288136,59
"effect_size",0.5,9,1,0.726315789473684,0.838709677419355,31
"effect_size",0.5,10,0.8,0.642105263157895,0.894736842105263,38
"effect_size",0.5,11,1,0.389473684210526,0.920634920634921,63
"effect_size",0.5,12,1,0.378947368421053,0.921875,64
"effect_size",0.5,13,1,0.431578947368421,0.915254237288136,59
"effect_size",0.5,14,0.8,0.589473684210526,0.906976744186046,43
"effect_size",0.5,15,1,0.557894736842105,0.893617021276596,47
"effect_size",0.5,16,0.8,0.463157894736842,0.927272727272727,55
"effect_size",0.5,17,0.8,0.210526315789474,0.949367088607595,79
"effect_size",0.5,18,1,0.368421052631579,0.923076923076923,65
"effect_size",0.5,19,1,0.294736842105263,0.930555555555556,72
"effect_size",0.5,20,0.8,0.326315789473684,0.941176470588235,68
"effect_size",0.5,21,1,0.463157894736842,0.910714285714286,56
"effect_size",0.5,22,1,0.631578947368421,0.875,40
"effect_size",0.5,23,1,0.336842105263158,0.926470588235294,68
"effect_size",0.5,24,0.6,0.221052631578947,0.961038961038961,77
"effect_size",0.5,25,1,0.347368421052632,0.925373134328358,67
"effect_size",0.5,26,0.6,0.410526315789474,0.949152542372881,59
"effect_size",0.5,27,0.8,0.305263157894737,0.942857142857143,70
"effect_size",0.5,28,1,0.410526315789474,0.918032786885246,61
"effect_size",0.5,29,1,0.6,0.883720930232558,43
"effect_size",0.5,30,0.8,0.242105263157895,0.947368421052632,76
"effect_size",0.5,31,1,0.431578947368421,0.915254237288136,59
"effect_size",0.5,32,0.8,0.421052631578947,0.932203389830508,59
"effect_size",0.5,33,1,0.368421052631579,0.923076923076923,65
